tissue_a	tissue_b	top_k	intersection	union	jaccard	expected_overlap	p_value	n_heads	overlap_heads	q_value_global_bh	sig_raw_p_lt_0_05	sig_global_q_lt_0_10	sig_global_q_lt_0_05	enrichment_vs_expected
immune	external_krasnow_lung	10	2	18	0.111111	1.0416666666666667	0.2784120486669387	96	0:1,0:6	0.6641254796177954	False	False	False	1.92
kidney	external_krasnow_lung	10	2	18	0.111111	1.0416666666666667	0.2784120486669387	96	2:4,3:4	0.6641254796177954	False	False	False	1.92
kidney	lung	10	1	19	0.052632	1.0416666666666667	0.6860888573296852	96	4:4	0.8827936457747273	False	False	False	0.96
lung	external_krasnow_lung	10	1	19	0.052632	1.0416666666666667	0.6860888573296852	96	0:6	0.8827936457747273	False	False	False	0.96
lung	immune	10	1	19	0.052632	1.0416666666666667	0.6860888573296852	96	0:6	0.8827936457747273	False	False	False	0.96
kidney	immune	10	0	20	0.0	1.0416666666666667	1.0	96		1.0	False	False	False	0.0
kidney	external_krasnow_lung	25	9	41	0.219512	6.510416666666667	0.1461374976866722	96	0:1,0:6,2:2,2:4,2:7,3:2,3:4,5:4,7:2	0.5665556938286753	False	False	False	1.3823999999999999
kidney	immune	25	9	41	0.219512	6.510416666666667	0.1461374976866722	96	0:1,0:5,0:6,1:4,1:7,2:2,2:4,2:7,3:0	0.5665556938286753	False	False	False	1.3823999999999999
immune	external_krasnow_lung	25	8	42	0.190476	6.510416666666667	0.2951668798301313	96	0:1,0:4,0:6,1:3,2:0,2:2,2:4,2:7	0.6641254796177954	False	False	False	1.2288
kidney	lung	25	7	43	0.162791	6.510416666666667	0.4938727226880767	96	0:6,1:7,3:4,4:4,5:3,6:7,7:4	0.8827936457747273	False	False	False	1.0752
lung	external_krasnow_lung	25	5	45	0.111111	6.510416666666667	0.8573668071937001	96	0:6,3:4,3:7,4:3,6:5	0.9645376580929126	False	False	False	0.768
lung	immune	25	3	47	0.06383	6.510416666666667	0.9875288269324438	96	0:6,1:7,2:1	1.0	False	False	False	0.4608
kidney	external_krasnow_lung	50	32	68	0.470588	26.041666666666668	0.012559576239446	96	0:0,0:1,0:5,0:6,1:3,1:5,1:6,1:7,2:0,2:2,2:4,2:7,3:2,3:4,4:1,4:2,4:4,4:6,5:1,5:4,5:7,6:1,6:5,6:6,6:7,7:1,7:2,8:5,9:2,10:4,10:6,11:5	0.22607237231002802	True	False	False	1.2288
kidney	immune	50	30	70	0.428571	26.041666666666668	0.0784821851710926	96	0:0,0:1,0:5,0:6,1:3,1:4,1:5,1:6,1:7,2:0,2:1,2:2,2:4,2:6,2:7,3:0,3:1,3:2,3:4,3:6,4:1,4:2,4:4,4:6,5:0,5:1,5:3,5:4,5:7,6:1	0.5665556938286753	False	False	False	1.152
immune	external_krasnow_lung	50	29	71	0.408451	26.041666666666668	0.1573765816190765	96	0:0,0:1,0:4,0:5,0:6,1:3,1:5,1:6,1:7,2:0,2:2,2:4,2:7,3:2,3:4,3:5,3:7,4:1,4:2,4:3,4:4,4:5,4:6,5:1,5:4,5:6,5:7,6:0,6:1	0.5665556938286753	False	False	False	1.1136
lung	external_krasnow_lung	50	27	73	0.369863	26.041666666666668	0.4256799582816191	96	0:1,0:5,0:6,1:3,1:7,2:4,2:7,3:4,3:7,4:1,4:3,4:4,5:1,5:4,5:7,6:0,6:1,6:3,6:5,6:7,7:0,7:2,7:3,8:0,8:2,9:0,10:2	0.8513599165632382	False	False	False	1.0368
kidney	lung	50	25	75	0.333333	26.041666666666668	0.7356613714789394	96	0:1,0:5,0:6,1:3,1:4,1:7,2:1,2:4,2:7,3:4,4:1,4:4,5:0,5:1,5:3,5:4,5:7,6:1,6:4,6:5,6:7,7:2,7:4,7:7,8:4	0.8827936457747273	False	False	False	0.96
lung	immune	50	25	75	0.333333	26.041666666666668	0.7356613714789394	96	0:1,0:5,0:6,1:3,1:4,1:7,2:1,2:4,2:7,3:3,3:4,3:7,4:0,4:1,4:3,4:4,4:7,5:0,5:1,5:2,5:3,5:4,5:7,6:0,6:1	0.8827936457747273	False	False	False	0.96
