layer	head	cluster_id	cluster_size
0	0	0	1
0	1	1	94
0	2	1	94
0	3	1	94
0	4	1	94
0	5	1	94
0	6	2	1
0	7	1	94
1	0	1	94
1	1	1	94
1	2	1	94
1	3	1	94
1	4	1	94
1	5	1	94
1	6	1	94
1	7	1	94
2	0	1	94
2	1	1	94
2	2	1	94
2	3	1	94
2	4	1	94
2	5	1	94
2	6	1	94
2	7	1	94
3	0	1	94
3	1	1	94
3	2	1	94
3	3	1	94
3	4	1	94
3	5	1	94
3	6	1	94
3	7	1	94
4	0	1	94
4	1	1	94
4	2	1	94
4	3	1	94
4	4	1	94
4	5	1	94
4	6	1	94
4	7	1	94
5	0	1	94
5	1	1	94
5	2	1	94
5	3	1	94
5	4	1	94
5	5	1	94
5	6	1	94
5	7	1	94
6	0	1	94
6	1	1	94
6	2	1	94
6	3	1	94
6	4	1	94
6	5	1	94
6	6	1	94
6	7	1	94
7	0	1	94
7	1	1	94
7	2	1	94
7	3	1	94
7	4	1	94
7	5	1	94
7	6	1	94
7	7	1	94
8	0	1	94
8	1	1	94
8	2	1	94
8	3	1	94
8	4	1	94
8	5	1	94
8	6	1	94
8	7	1	94
9	0	1	94
9	1	1	94
9	2	1	94
9	3	1	94
9	4	1	94
9	5	1	94
9	6	1	94
9	7	1	94
10	0	1	94
10	1	1	94
10	2	1	94
10	3	1	94
10	4	1	94
10	5	1	94
10	6	1	94
10	7	1	94
11	0	1	94
11	1	1	94
11	2	1	94
11	3	1	94
11	4	1	94
11	5	1	94
11	6	1	94
11	7	1	94
