checkpoint	head_id	rank	n_thresholds_significant	min_q_value	mean_odds_ratio
whole_human	best_overall	1.0	4	1.1469116126870234e-14	3.8909851963269255
whole_human	0:3	1.0	4	1.1469116126870234e-14	3.8909851963269255
whole_human	0:5	7.0	0	0.94481049477039	1.2429386959789577
whole_human	9:1	12.0	0	1.0	1.0608649789029536
kidney	best_overall	1.0	2	1.3397652572436e-05	2.0150322067765383
kidney	0:3	4.0	0	0.3860756169646837	1.4047466353101656
kidney	0:5	7.0	0	0.458301392437043	1.437474657819733
kidney	9:1		0		
brain	best_overall	1.0	4	0.0038173610895366	2.37325399040005
brain	0:3	5.0	0	0.6165106059067036	2.1426328955469622
brain	0:5	25.0	0	1.0	0.9844189608985348
brain	9:1		0		
