decile	n_edges	edge_score_min	edge_score_max	edge_score_mean	max_head_score_mean	max_head_score_median	max_head_score_zero_frac
0	24015	0.0020214575342833	0.003912997432053	0.003328786198414209	0.00398333346506998	0.0	0.9013116801998751
1	24015	0.0039130081422626	0.0049104681238532	0.004419667364830046	0.012275227500295496	0.0	0.7366645846346034
2	24015	0.0049104862846434	0.0058980733156204	0.005403845185531472	0.020837737059674278	0.0	0.6593795544451384
3	24015	0.0058981189504265	0.0069208312779664	0.006407259199238869	0.029886899671859684	0.0	0.5952946075369561
4	24015	0.0069208559580147	0.0080834794789552	0.007486233465357342	0.043908551591126006	0.0	0.5126379346241932
5	24015	0.0080835074186325	0.0092890514060854	0.00869965551158673	0.06493938105879037	0.043548583984375	0.45667291276285654
6	24015	0.009289177134633	0.0103568956255912	0.009826754812504114	0.09677834134004377	0.06341552734375	0.4174890693316677
7	24015	0.0103568974882364	0.0115805931389331	0.010946112198136928	0.12615009169697242	0.0826416015625	0.3864251509473246
8	24015	0.0115806283429265	0.0133716156706213	0.012405486726945452	0.17123118488817163	0.0985107421875	0.4037060170726629
9	24015	0.0133716921721185	0.0567420944571495	0.01581458837230126	0.31327946815772034	0.1981770833333333	0.3316677076826983
