tissue	layer	head	tf	recall	recall_delta_vs_aggregate	true_targets	predicted_true_targets	aggregate_recall
kidney	3	1	ETS1	1.0	0.0	10	10	1.0
kidney	3	1	PAX5	1.0	0.0	6	6	1.0
kidney	3	1	FOS	0.8571428571428571	0.0	7	6	0.8571428571428571
kidney	3	4	ETS1	1.0	0.0	10	10	1.0
kidney	3	4	PAX5	1.0	0.0	6	6	1.0
kidney	3	4	FOS	0.8571428571428571	0.0	7	6	0.8571428571428571
kidney	4	4	ETS1	1.0	0.0	10	10	1.0
kidney	4	4	PAX5	1.0	0.0	6	6	1.0
kidney	4	4	FOS	0.8571428571428571	0.0	7	6	0.8571428571428571
kidney	7	4	ETS1	1.0	0.0	10	10	1.0
kidney	7	4	PAX5	1.0	0.0	6	6	1.0
kidney	7	4	FOS	0.8571428571428571	0.0	7	6	0.8571428571428571
kidney	10	4	ETS1	1.0	0.0	10	10	1.0
kidney	10	4	PAX5	1.0	0.0	6	6	1.0
kidney	10	4	FOS	0.8571428571428571	0.0	7	6	0.8571428571428571
lung	0	6	GATA2	1.0	0.2857142857142857	7	7	0.7142857142857143
lung	0	6	KLF2	0.8571428571428571	0.2857142857142857	7	6	0.5714285714285714
lung	0	6	PPARG	0.5	0.25	12	6	0.25
lung	0	6	EGR1	0.5	0.0555555555555555	18	9	0.4444444444444444
lung	0	6	STAT4	1.0	0.0	5	5	1.0
lung	3	7	PPARG	0.5	0.25	12	6	0.25
lung	3	7	PAX5	0.6	0.1999999999999999	5	3	0.4
lung	3	7	ERG	0.7142857142857143	0.1428571428571429	14	10	0.5714285714285714
lung	3	7	KLF2	0.7142857142857143	0.1428571428571429	7	5	0.5714285714285714
lung	3	7	EGR1	0.5	0.0555555555555555	18	9	0.4444444444444444
lung	4	3	PPARG	0.6666666666666666	0.4166666666666666	12	8	0.25
lung	4	3	GATA2	0.8571428571428571	0.1428571428571428	7	6	0.7142857142857143
lung	4	3	ERG	0.6428571428571429	0.0714285714285715	14	9	0.5714285714285714
lung	4	3	STAT4	1.0	0.0	5	5	1.0
lung	4	3	SPI1	0.8125	0.0	16	13	0.8125
lung	4	4	PPARG	0.6666666666666666	0.4166666666666666	12	8	0.25
lung	4	4	EGR1	0.6111111111111112	0.1666666666666667	18	11	0.4444444444444444
lung	4	4	GATA2	0.8571428571428571	0.1428571428571428	7	6	0.7142857142857143
lung	4	4	ERG	0.6428571428571429	0.0714285714285715	14	9	0.5714285714285714
lung	4	4	SPI1	0.8125	0.0	16	13	0.8125
lung	5	7	PPARG	0.5	0.25	12	6	0.25
lung	5	7	PAX5	0.6	0.1999999999999999	5	3	0.4
lung	5	7	ERG	0.7142857142857143	0.1428571428571429	14	10	0.5714285714285714
lung	5	7	STAT4	1.0	0.0	5	5	1.0
lung	5	7	SPI1	0.8125	0.0	16	13	0.8125
external_krasnow_lung	4	1	PAX5	1.0	0.0	7	7	1.0
external_krasnow_lung	4	1	FOS	0.8571428571428571	0.0	7	6	0.8571428571428571
external_krasnow_lung	6	5	PAX5	1.0	0.0	7	7	1.0
external_krasnow_lung	6	5	FOS	0.8571428571428571	0.0	7	6	0.8571428571428571
external_krasnow_lung	6	6	PAX5	1.0	0.0	7	7	1.0
external_krasnow_lung	6	6	FOS	0.8571428571428571	0.0	7	6	0.8571428571428571
external_krasnow_lung	7	3	PAX5	1.0	0.0	7	7	1.0
external_krasnow_lung	7	3	FOS	0.8571428571428571	0.0	7	6	0.8571428571428571
external_krasnow_lung	8	5	PAX5	1.0	0.0	7	7	1.0
external_krasnow_lung	8	5	FOS	0.8571428571428571	0.0	7	6	0.8571428571428571
